Source,Target,Type,Id,Label,Weight
Работа с системами мониторинга,Управление проектами,Undirected,126,,2
Аналитическое мышление,Управление проектами,Undirected,98,,554
Grafana,Научно-исследовательская работа,Undirected,6310,,2
Grafana,Apache Kafka,Undirected,2306,,2
Grafana,Аналитическое мышление,Undirected,189,,2
Grafana,Публичные выступления и проведение презентаций,Undirected,104,,2
Управление продуктом,Grafana,Undirected,5955,,2
Знание английского языка,Публичные выступления и проведение презентаций,Undirected,6555,,73
Знание английского языка,Создание презентационных материалов,Undirected,6282,,60
Знание английского языка,Знания в области электротехники,Undirected,6159,,4
Знание английского языка,Знание английского языка,Undirected,6158,,2
Знание английского языка,Визуализация данных,Undirected,5989,,1
Знание английского языка,Управленческое консультирование,Undirected,5515,,33
Знание английского языка,Проведение интервью,Undirected,5374,,30
Знание английского языка,Инициативность,Undirected,4313,,6
Знание английского языка,Прототипирование,Undirected,4221,,2
Знание английского языка,Написание статей,Undirected,3910,,8
Знание английского языка,Экономический анализ,Undirected,3440,,2
Знание английского языка,Работа с инвесторами,Undirected,3409,,10
Знание английского языка,Работа с Blockchain и цифровыми финансовыми активами,Undirected,3171,,1
Знание английского языка,Работа с системами мониторинга,Undirected,3023,,2
Знание английского языка,Умение преподавать,Undirected,2988,,2
Знание английского языка,Знание нормативно-правовых документов,Undirected,2918,,2
Знание английского языка,IBM SPSS Statistics,Undirected,2475,,5
Знание английского языка,Экспедирование и транспортная логистика,Undirected,2036,,2
Знание английского языка,Математический анализ,Undirected,1571,,3
Знание английского языка,Обеспечение информационной безопасности,Undirected,1401,,1
Знание английского языка,Мониторинг СМИ,Undirected,1381,,2
Знание английского языка,Технический перевод,Undirected,1166,,1
Знание английского языка,Статистическая обработка данных,Undirected,1100,,17
Знание английского языка,Подготовка коммерческих предложений,Undirected,544,,4
Знание английского языка,Умение принимать решения,Undirected,207,,3
Самостоятельность,Знание английского языка,Undirected,5753,,1
Анализ инвестиционных проектов,Знание английского языка,Undirected,5695,,2
Microsoft PowerPoint,Знание английского языка,Undirected,5629,,43
Научно-исследовательская работа,Знание английского языка,Undirected,5573,,185
UI/UX Дизайн,Знание английского языка,Undirected,5541,,14
Power Pivot,Знание английского языка,Undirected,5454,,2
GameDev,Знание английского языка,Undirected,5285,,3
Управление производством,Знание английского языка,Undirected,5228,,1
Управление данными,Знание английского языка,Undirected,5214,,2
Работа с биржами,Знание английского языка,Undirected,5198,,8
Microsoft Excel,Знание английского языка,Undirected,5139,,21
Обслуживание клиентов банка,Знание английского языка,Undirected,4741,,6
Маркетинг,Знание английского языка,Undirected,4548,,3
Управление рисками,Знание английского языка,Undirected,4130,,6
Аналитическое мышление,Знание английского языка,Undirected,4066,,91
Управление продуктом,Знание английского языка,Undirected,3546,,58
Ведение финансовой отчетности,Знание английского языка,Undirected,3437,,1
Qlik Sense,Знание английского языка,Undirected,3150,,2
Python,Знание английского языка,Undirected,3032,,2
Финансовый анализ,Знание английского языка,Undirected,2854,,5
Составление карты пути клиента (CJM),Знание английского языка,Undirected,2841,,3
Моделирование рисков,Знание английского языка,Undirected,2818,,3
DAX,Знание английского языка,Undirected,2164,,4
Анализ данных,Знание английского языка,Undirected,1948,,28
Численные расчеты,Знание английского языка,Undirected,1503,,3
Разработка пользовательских сценариев,Знание английского языка,Undirected,1210,,2
Figma,Знание английского языка,Undirected,1078,,2
Медиалогия,Знание английского языка,Undirected,495,,2
Аналитическое мышление,Знания в области социальной психологии,Undirected,6735,,2
Аналитическое мышление,Фотосъемка,Undirected,6549,,2
Аналитическое мышление,Знание нормативно-правовых документов,Undirected,5664,,4
Аналитическое мышление,Знания в области электротехники,Undirected,5639,,4
Аналитическое мышление,Ведение финансовой отчетности,Undirected,5521,,3
Аналитическое мышление,Работа с жилой недвижимостью,Undirected,5488,,2
Аналитическое мышление,Работа с системами мониторинга,Undirected,4806,,2
Аналитическое мышление,Написание статей,Undirected,4791,,9
Аналитическое мышление,Статистическая обработка данных,Undirected,4676,,34
Аналитическое мышление,Управленческое консультирование,Undirected,4516,,39
Аналитическое мышление,Работа с инвесторами,Undirected,4511,,8
Аналитическое мышление,Мониторинг СМИ,Undirected,4349,,2
Аналитическое мышление,Технический перевод,Undirected,4063,,1
Аналитическое мышление,Визуализация данных,Undirected,4053,,6
Аналитическое мышление,Аналитическое мышление,Undirected,3575,,38
Аналитическое мышление,Проведение интервью,Undirected,3536,,58
Аналитическое мышление,Управление продуктом,Undirected,3302,,230
Аналитическое мышление,Публичные выступления и проведение презентаций,Undirected,3244,,171
Аналитическое мышление,Умение принимать решения,Undirected,3213,,23
Аналитическое мышление,Чтение технической документации,Undirected,2772,,11
Аналитическое мышление,Прохождение и проведение экспертиз,Undirected,2725,,9
Аналитическое мышление,Умение преподавать,Undirected,2622,,10
Аналитическое мышление,Работа с Blockchain и цифровыми финансовыми активами,Undirected,2455,,1
Аналитическое мышление,Создание презентационных материалов,Undirected,1998,,115
Аналитическое мышление,Контроль качества,Undirected,1660,,5
Аналитическое мышление,Инициативность,Undirected,1444,,6
Аналитическое мышление,Математический анализ,Undirected,1309,,6
Аналитическое мышление,Управление производством,Undirected,1263,,20
Аналитическое мышление,Прототипирование,Undirected,1206,,8
Аналитическое мышление,Подготовка коммерческих предложений,Undirected,1051,,5
Аналитическое мышление,Выполнение производственного технического контроля,Undirected,640,,12
Аналитическое мышление,Организация учебного процесса,Undirected,213,,1
Аналитическое мышление,Управление затратами,Undirected,75,,8
GameDev,Аналитическое мышление,Undirected,6406,,3
Работа с биржами,Аналитическое мышление,Undirected,6217,,6
QGIS,Аналитическое мышление,Undirected,5715,,1
Apache Kafka,Аналитическое мышление,Undirected,5491,,2
Экономический анализ,Аналитическое мышление,Undirected,5429,,5
Анализ инвестиционных проектов,Аналитическое мышление,Undirected,5387,,4
Microsoft PowerPoint,Аналитическое мышление,Undirected,4211,,81
Маркетинг,Аналитическое мышление,Undirected,4183,,14
Медиалогия,Аналитическое мышление,Undirected,3887,,2
Power Pivot,Аналитическое мышление,Undirected,3715,,2
Управление рисками,Аналитическое мышление,Undirected,3701,,7
